"marsh","NY1","50","N","N","cranberries, no grass","mµ∞éÛ","MS",-0-,1.
"NR","PA32B","148",-0-,"N",-0-,-0-,"MS",-0-,312.
"NR","PA33A","151",-0-,"N",-0-,-0-,"MS",-0-,313.
"NR","PA33B","152",-0-,"N",-0-,-0-,"MS",-0-,314.
"marsh","PA34A","155","N","N",-0-,"mµº¥Û","MS",-0-,315.
"NR","PA34B","156",-0-,"N",-0-,-0-,"MS",-0-,316.
"marsh","PA34C!","155b!","N","N",-0-,"mµ¥Û","MS",-0-,317.
"NR","PA35A","157",-0-,"N",-0-,-0-,"MS",-0-,318.
"spouty land","PA35B","158(*)","O","N",-0-,"spa´æπÒ±ø´$Ï·∫{∞}nd","MS",-0-,319.
"NR","PA35C",-0-,-0-,"N",-0-,-0-,"MS",-0-,320.
"marsh","PA36A","159","N","N",-0-,"mµ¥Û","MS",-0-,321.
"NR","PA36B","160",-0-,"N",-0-,-0-,"MS",-0-,322.
"marsh","PA37A","161(*)","N","N",-0-,"mµrÛ","MS",-0-,323.
"marsh","PA37B","162","N","N",-0-,"mµ¥Û","MS",-0-,324.
"NR","PA37C",-0-,-0-,"N",-0-,-0-,"MS",-0-,325.
"NR","PA38A","163",-0-,"N",-0-,-0-,"MS",-0-,326.
"NR","PA38B","164",-0-,"N",-0-,-0-,"MS",-0-,327.
"marsh","PA39A","165","N","N",-0-,"mµºrÛ","MS",-0-,328.
"NR","PA39B","166",-0-,"N",-0-,-0-,"MS",-0-,329.
"NR","PA40A","167",-0-,"N",-0-,-0-,"MS",-0-,330.
"marsh","PA40B","168","N","N",-0-,"mµ¥Û","MS",-0-,331.
"NR","PA41A","171",-0-,"N",-0-,-0-,"MS",-0-,332.
"marsh","PA41B","172","N","N",-0-,"mµ¥Û","MS",-0-,333.
"NR","PA42A","175",-0-,"N",-0-,-0-,"MS",-0-,334.
"NR","PA42B","176",-0-,"N",-0-,-0-,"MS",-0-,335.
"NR","PA43A","177",-0-,"N",-0-,-0-,"MS",-0-,336.
"marsh","PA43B","178","N","N",-0-,"mﬁ¥Û","MS",-0-,337.
"NR","PA44A","179",-0-,"N",-0-,-0-,"MS",-0-,338.
"NR","PA44B","180",-0-,"N",-0-,-0-,"MS",-0-,339.
"NR","PA45A","181",-0-,"N",-0-,-0-,"MS",-0-,340.
"NR","PA45B","182",-0-,"N",-0-,-0-,"MS",-0-,341.
"NR","PA46A","185",-0-,"N",-0-,-0-,"MS",-0-,342.
"marsh","PA46B","186","N","N",-0-,"mﬁrÛ","MS",-0-,343.
"NR","PA47A","189",-0-,"N",-0-,-0-,"MS",-0-,344.
"NR","PA47B","190",-0-,"N",-0-,-0-,"MS",-0-,345.
"marsh","PA48A","191","N","N",-0-,"mµærÛ","MS",-0-,346.
"marsh","PA48B","192","N","N",-0-,"mµærÛ","MS",-0-,347.
"marsh","PA48C","193","N","N",-0-,"mµrÛ","MS",-0-,348.
"NR","PA49A","194",-0-,"N",-0-,-0-,"MS",-0-,349.
"marshes","PA49B","195","N","N","rare","mﬁºrÛ∞z","MS",-0-,350.
"marsh","PA50A","196","N","N",-0-,"mµ´ærÛ","MS",-0-,351.
"marsh","PA50B","197","N","N",-0-,"mµréÛ","MS",-0-,352.
"marsh","PA50C!","198!","N","N",-0-,"mµrÛ","MS",-0-,353.
"marsh","PA51A","199","N","N",-0-,"mµærÛ","MS",-0-,354.
"marsh","PA51B","200","N","N",-0-,"mµærÛ","MS",-0-,355.
"NR","PA52A","201",-0-,"N",-0-,-0-,"MS",-0-,356.
"marsh","PA52B!","202!","N","N",-0-,"mﬁrÛ","MS",-0-,357.
"marsh","PA53A","203","N","N",-0-,"marÛ","MS",-0-,358.
"marsh","PA53B","204","N","N",-0-,"marÛ","MS",-0-,359.
"NR","PA54A","205",-0-,"N",-0-,-0-,"MS",-0-,360.
"NR","PA54B","206",-0-,"N",-0-,-0-,"MS",-0-,361.
"marsh","PA55A","207","N","N",-0-,"maærÛ","MS",-0-,362.
"marsh","PA55B","208","N","N",-0-,"mµrÛ","MS",-0-,363.
"marsh","PA56A","211(*)","N","N",-0-,"mµrÛ","MS",-0-,364.
"NR","PA56B","212",-0-,"N",-0-,-0-,"MS",-0-,365.
"NR","PA57A","213",-0-,"N",-0-,-0-,"MS",-0-,366.
"NR","PA57B","214",-0-,"N",-0-,-0-,"MS",-0-,367.
"NR","PA58A","215",-0-,"N",-0-,-0-,"MS",-0-,368.
"NR","PA58B","216",-0-,"N",-0-,-0-,"MS",-0-,369.
"NR","PA59A","219",-0-,"N",-0-,-0-,"MS",-0-,370.
"NR","PA59B","220",-0-,"N",-0-,-0-,"MS",-0-,371.
"NR","PA60A","221",-0-,"N",-0-,-0-,"MS",-0-,372.
"NR","PA60B","222",-0-,"N",-0-,-0-,"MS",-0-,373.
"NR","PA61A","223",-0-,"N",-0-,-0-,"MS",-0-,374.
"NR","PA61B","224",-0-,"N",-0-,-0-,"MS",-0-,375.
"NR","PA62A","229",-0-,"N",-0-,-0-,"MS",-0-,376.
"NR","PA62B","230",-0-,"N",-0-,-0-,"MS",-0-,377.
"NR","PA63A","231",-0-,"N",-0-,-0-,"MS",-0-,378.
"NR","PA63B","232",-0-,"N",-0-,-0-,"MS",-0-,379.
"NR","PA64A","233",-0-,"N",-0-,-0-,"MS",-0-,380.
"marsh","PA64B","234","N","N",-0-,"maæ¥Û","MS",-0-,381.
"NR","PA65A","237",-0-,"N",-0-,-0-,"MS",-0-,382.
"marsh","PA65B","238","N","N","rare","mµº¥Û","MS",-0-,383.
"marsh","PA66A","239","N","N",-0-,"mµºrÛ","MS",-0-,384.
"marsh","PA66B","240","N","N",-0-,"mµ¥Û","MS",-0-,385.
"marsh","PA67A","243","N","N",-0-,"maæ¥Û","MS",-0-,386.
"marsh","PA67B","244","N","N",-0-,"mµº¥Û","MS",-0-,387.
"marsh","WV1!","88!","N","N",-0-,"m∂∫{∞}Û","MS",-0-,388.
"marsh","WV2","89","N","N",-0-,"mµ¥Û","MS",-0-,389.
"NR","WV3","91",-0-,"N",-0-,-0-,"MS",-0-,390.
"NR","WV4A","92",-0-,"N",-0-,-0-,"MS",-0-,391.
"NR","WV4B","93",-0-,"N",-0-,-0-,"MS",-0-,392.
"NR","WV5","94",-0-,"N",-0-,-0-,"MS",-0-,393.
"NR","WV6A","95",-0-,"N",-0-,-0-,"MS",-0-,394.
"NR","WV6B","96",-0-,"N",-0-,-0-,"MS",-0-,395.
"NR","WV7A","97",-0-,"N",-0-,-0-,"MS",-0-,396.
"NR","WV7B","98",-0-,"N",-0-,-0-,"MS",-0-,397.
"NR","WV8A","97b",-0-,"N",-0-,-0-,"MS",-0-,398.
"NR","WV8B","98b",-0-,"N",-0-,-0-,"MS",-0-,399.
"NR","WV9A","301",-0-,"N",-0-,-0-,"MS",-0-,400.
"NR","WV9B","302",-0-,"N",-0-,-0-,"MS",-0-,401.
"NR","WV10A","303",-0-,"N",-0-,-0-,"MS",-0-,402.
"NR","WV10B","303b",-0-,"N",-0-,-0-,"MS",-0-,403.
"NR","WV10C","304",-0-,"N",-0-,-0-,"MS",-0-,404.
"NR","WV11A","305",-0-,"N",-0-,-0-,"MS",-0-,405.
"NR","WV11B!","306!",-0-,"N",-0-,-0-,"MS",-0-,406.
"NR","WV12A","307",-0-,"N",-0-,-0-,"MS",-0-,407.
"NR","WV12B","308",-0-,"N",-0-,-0-,"MS",-0-,408.
"NR","WV13A","309",-0-,"N",-0-,-0-,"MS",-0-,409.
"NR","WV13B","310",-0-,"N",-0-,-0-,"MS",-0-,410.
"NR","WV14A","311",-0-,"N",-0-,-0-,"MS",-0-,411.
"NR","WV14B","312",-0-,"N",-0-,-0-,"MS",-0-,412.
"NR","WV15A","313",-0-,"N",-0-,-0-,"MS",-0-,413.
"NR","WV15B","314",-0-,"N",-0-,-0-,"MS",-0-,414.
"NR","WV16A","315",-0-,"N",-0-,-0-,"MS",-0-,415.
"NR","WV16B","316",-0-,"N",-0-,-0-,"MS",-0-,416.
"NR","WV17A","317",-0-,"N",-0-,-0-,"MS",-0-,417.
"NR","WV17B","317b",-0-,"N",-0-,-0-,"MS",-0-,418.
"NR","WV17C","318",-0-,"N",-0-,-0-,"MS",-0-,419.
"NR","WV18A","319",-0-,"N",-0-,-0-,"MS",-0-,420.
"NR","WV18B","320",-0-,"N",-0-,-0-,"MS",-0-,421.
"NR","WV19A","321",-0-,"N",-0-,-0-,"MS",-0-,422.
"NR","WV19B","322",-0-,"N",-0-,-0-,"MS",-0-,423.
"NR","WV20A","323",-0-,"N",-0-,-0-,"MS",-0-,424.
"NR","WV20B","324",-0-,"N",-0-,-0-,"MS",-0-,425.
"NR","WV21A","325",-0-,"N",-0-,-0-,"MS",-0-,426.
"NR","WV21B","326",-0-,"N",-0-,-0-,"MS",-0-,427.
"NR","WV22A","327",-0-,"N",-0-,-0-,"MS",-0-,428.
"marsh","WV22B","328","N","N",-0-,"mµæ¥Û","MS",-0-,429.
"NR","WV23A","331",-0-,"N",-0-,-0-,"MS",-0-,430.
"NR","WV23B","332",-0-,"N",-0-,-0-,"MS",-0-,431.
"NR","WV24A","335",-0-,"N",-0-,-0-,"MS",-0-,432.
"NR","WV24B","336",-0-,"N",-0-,-0-,"MS",-0-,433.
"NR","WV25A","337",-0-,"N",-0-,-0-,"MS",-0-,434.
"NR","WV25B","338",-0-,"N",-0-,-0-,"MS",-0-,435.
"NR","WV26A","339",-0-,"N",-0-,-0-,"MS",-0-,436.
"NR","WV26B","340",-0-,"N",-0-,-0-,"MS",-0-,437.
"NR","WV27A","341",-0-,"N",-0-,-0-,"MS",-0-,438.
"NR","WV27B","342",-0-,"N",-0-,-0-,"MS",-0-,439.
"NR","WV28A","343",-0-,"N",-0-,-0-,"MS",-0-,440.
"NR","WV28B","344",-0-,"N",-0-,-0-,"MS",-0-,441.
"NR","WV29A","345",-0-,"N",-0-,-0-,"MS",-0-,442.
"NR","WV29B","346",-0-,"N",-0-,-0-,"MS",-0-,443.
"NR","WV30A","347",-0-,"N",-0-,-0-,"MS",-0-,444.
"NR","WV30B","348",-0-,"N",-0-,-0-,"MS",-0-,445.
"NR","WV31A","349",-0-,"N",-0-,-0-,"MS",-0-,446.
"NR","WV31B","350",-0-,"N",-0-,-0-,"MS",-0-,447.
"NR","WV32A","353",-0-,"N",-0-,-0-,"MS",-0-,448.
"NR","WV32B","354",-0-,"N",-0-,-0-,"MS",-0-,449.
"NR","WV33A","355",-0-,"N",-0-,-0-,"MS",-0-,450.
"NR","WV33B","356",-0-,"N",-0-,-0-,"MS",-0-,451.
"NR","WV34A","359",-0-,"N",-0-,-0-,"MS",-0-,452.
"NR","WV34B","360",-0-,"N",-0-,-0-,"MS",-0-,453.
"NR","WV35A","361",-0-,"N",-0-,-0-,"MS",-0-,454.
"NR","WV35B","362",-0-,"N",-0-,-0-,"MS",-0-,455.
"NR","WV36A","363",-0-,"N",-0-,-0-,"MS",-0-,456.
"NR","WV36B","364",-0-,"N",-0-,-0-,"MS",-0-,457.
"NR","WV37A","365",-0-,"N",-0-,-0-,"MS",-0-,458.
"NR","WV37B!","366!",-0-,"N",-0-,-0-,"MS",-0-,459.
"NR","WV38A","367",-0-,"N",-0-,-0-,"MS",-0-,460.
"NR","WV38B","368",-0-,"N",-0-,-0-,"MS",-0-,461.
"NR","WV39A","369",-0-,"N",-0-,-0-,"MS",-0-,462.
"NR","WV39B","370",-0-,"N",-0-,-0-,"MS",-0-,463.
"NR","WV40A","373",-0-,"N",-0-,-0-,"MS",-0-,465.
"NR","WV40B","374",-0-,"N",-0-,-0-,"MS",-0-,466.
"NR","WV41A","375",-0-,"N",-0-,-0-,"MS",-0-,467.
"NR","WV41B","376",-0-,"N",-0-,-0-,"MS",-0-,468.
"NR","WV42A","377",-0-,"N",-0-,-0-,"MS",-0-,469.
"NR","WV42B","378",-0-,"N",-0-,-0-,"MS",-0-,470.
"NR","WV43A","381",-0-,"N",-0-,-0-,"MS",-0-,471.
"NR","WV43B","382",-0-,"N",-0-,-0-,"MS",-0-,472.
"NR","WV44A","383",-0-,"N",-0-,-0-,"MS",-0-,473.
"NR","WV44B","384",-0-,"N",-0-,-0-,"MS",-0-,474.
"NR","WV45A","385",-0-,"N",-0-,-0-,"MS",-0-,475.
"NR","WV45B","386",-0-,"N",-0-,-0-,"MS",-0-,476.
"NR","WV46A","387",-0-,"N",-0-,-0-,"MS",-0-,477.
"NR","WV46B","388",-0-,"N",-0-,-0-,"MS",-0-,478.
"NR","WV47A","389",-0-,"N",-0-,-0-,"MS",-0-,479.
"NR","WV47B","390",-0-,"N",-0-,-0-,"MS",-0-,480.
"NR","WV48A","391",-0-,"N",-0-,-0-,"MS",-0-,481.
"NR","WV48B","391b",-0-,"N",-0-,-0-,"MS",-0-,482.
"NR","WV48C","392",-0-,"N",-0-,-0-,"MS",-0-,483.
"NR","WV48D","392b",-0-,"N",-0-,-0-,"MS",-0-,484.
"NR","WV49A","393",-0-,"N",-0-,-0-,"MS",-0-,485.
"NR","WV49B","394",-0-,"N",-0-,-0-,"MS",-0-,486.
"NR","WV50A","395",-0-,"N",-0-,-0-,"MS",-0-,487.
"NR","WV50B","396",-0-,"N",-0-,-0-,"MS",-0-,488.
"NR","WV51A","261",-0-,"N",-0-,-0-,"MS",-0-,489.
"NR","WV51B","262",-0-,"N",-0-,-0-,"MS",-0-,490.
"NR","WV52A","258",-0-,"N",-0-,-0-,"MS",-0-,491.
"NR","WV52B","259",-0-,"N",-0-,-0-,"MS",-0-,492.
"NR","WV53A","257",-0-,"N",-0-,-0-,"MS",-0-,494.
"NR","WV53B","257b",-0-,"N",-0-,-0-,"MS",-0-,495.
"NR","WV53C!","257c!",-0-,"N",-0-,-0-,"MS",-0-,496.
"NR","WV54A","255",-0-,"N",-0-,-0-,"MS",-0-,497.
"NR","WV54B","256",-0-,"N",-0-,-0-,"MS",-0-,498.
"marsh","DE1A","11","N","N",-0-,"mﬁ¥Û","MS",-0-,499.
"marsh","DE1B","12","N","N",-0-,"mµæ¥Û","MS",-0-,500.
"marsh","DE1C!","13!","N","N",-0-,"mﬁ¥Û","MS",-0-,501.
"NA","DE2A","15(*)",-0-,"N",-0-,-0-,"MS",-0-,502.
"marsh","DE2B","16","N","N",-0-,"mµæ¥Û","MS",-0-,503.
"salt water marsh","DE2C",-0-,"O","N","on sea","s∂´ºÏt$w∂´º{Ò}¥$m∂´º¥Û","MS",-0-,504.
"marsh","DE3A","18","N","N",-0-,"m∂´¥Û","MS",-0-,505.
"marsh","DE3B","19","N","N",-0-,"m∂¥Û","MS",-0-,506.
"marsh","DE3C!","17!","N","N",-0-,"m∂¥Û","MS",-0-,507.
"marsh","DE4","20","N","N",-0-,"m·∫Û","MS",-0-,508.
"marsh","DE4","20","N","N",-0-,"m∂´∫{∞´º}Û","MS","CNV",508.
"marsh","DE5A","21","N","N","salt","m∂´¥Û","MS",-0-,509.
"marsh","DE5B","22","N","N",-0-,"m∂¥Û","MS",-0-,510.
"marsh","DE6A","23","N","N",-0-,"m∂´¥Û","MS",-0-,511.
"marsh","DE6B","24","N","N",-0-,"m∂´¥Û","MS",-0-,512.
"marsh","MD1A","27","N","N",-0-,"mµæ¥Û","MS",-0-,513.
"marsh","MD1B","28","N","N",-0-,"mﬁº¥Û","MS",-0-,514.
"marsh","MD2A","31a","N","N",-0-,"mﬁ∫¥Û","MS",-0-,515.
"marsh","MD2A","31a","N","N",-0-,"m·∫Û","MS",-0-,515.
"marsh","MD2B","32","N","N",-0-,"mµæ¥´Û","MS",-0-,516.
"marsh","MD3A","33","N","N",-0-,"mﬁ∫{¥}Û","MS",-0-,517.
"marsh","MD3B","34","N","N",-0-,"mﬁº¥Û","MS",-0-,518.
"marsh","MD4A","35b","N","N",-0-,"m∂¥Û","MS",-0-,519.
"marsh","MD4B","35","N","N",-0-,"m∂´º¥Û","MS",-0-,520.
"marsh","MD4C","36","N","N","high grass on river, fresh too","m∂´¥Û","MS",-0-,521.
"marsh","MD5A","37","N","N",-0-,"m∂´¥Û","MS",-0-,522.
"marsh","MD5B","38","N","N",-0-,"mµæ¥Û","MS",-0-,523.
"marsh","MD6A","39(*)","N","N",-0-,"m∂¥Û","MS",-0-,524.
"marsh","MD6B","40","N","N",-0-,"m∂´¥Û","MS",-0-,525.
"marsh","MD7A","41","N","N",-0-,"m·æÛ","MS",-0-,526.
"marsh","MD7A","41","N","N",-0-,"m∂´¥Û","MS",-0-,526.
"marsh","MD7B","41b","N","N",-0-,"m∂´º¥Û","MS",-0-,527.
"marsh","MD7C!","42!","N","N",-0-,"m∂´¥Û","MS",-0-,528.
"marsh","MD8A","43","N","N",-0-,"m∂´¥Û","MS",-0-,529.
"marsh","MD8B","44","N","N",-0-,"m∂´¥Û","MS",-0-,530.
"marsh","MD9A","45","N","N",-0-,"m∂´¥Û","MS",-0-,532.
"marsh","MD9B","46","N","N",-0-,"m∂´¥Û","MS",-0-,533.
"marsh","MD10A","49","N","N",-0-,"mµæ∫∞éÛ","MS",-0-,534.
"marsh","MD10B","50","N","N",-0-,"mﬁó∫¥Û","MS",-0-,535.
"marsh","MD11","51","N","N",-0-,"m·∫{∞´º}Û","MS",-0-,536.
"marsh","MD12A","52","N","N","wetter than swamp","mµæ¥Û","MS",-0-,537.
"marsh","MD12B","53","N","N",-0-,"mµæ¥Û","MS",-0-,538.
"marsh","MD13A","54(*)","N","N",-0-,"mﬁó∫{∞é}Û","MS",-0-,539.
"marsh","MD13B","55","N","N",-0-,"mﬁ∫¥Û","MS",-0-,540.
"marsh","MD13C","56","N","N",-0-,"mﬁó¥Û","MS",-0-,541.
"marshes","MD13D!","57!","N","N",-0-,"mﬁ∫∂Û±øΩz","MS",-0-,542.
"marsh","MD13F!","59!","N","N","salt","mﬁº∫∂´Û","MS",-0-,544.
"marsh","MD13G",-0-,"N","N",-0-,"mµóæ¥Û","MS",-0-,545.
"marsh","MD14","61(*)","N","N",-0-,"m∂¥Û","MS",-0-,546.
"marsh","MD15A","62","N","N",-0-,"m·∫{±øΩ}Û","MS",-0-,547.
"marsh","MD15B","63","N","N",-0-,"mﬁ∫∞éÛ","MS",-0-,548.
"NR","MD16","64",-0-,"N","none",-0-,"MS",-0-,549.
"marsh","MD17A","65","N","N",-0-,"mﬁº¥Û","MS",-0-,550.
"marsh","MD17B","66","N","N",-0-,"mﬁó¥Û","MS",-0-,551.
"marsh","MD18A","67","N","N",-0-,"mﬁ:Û","MS",-0-,552.
"marsh","MD18B","68","N","N",-0-,"mﬁº∫{∞´º}Û","MS",-0-,553.
"marsh","MD19A","69","N","N",-0-,"mﬁ:Û","MS",-0-,554.
"marsh","MD19B","70","N","N",-0-,"mﬁ∫r±øÛ","MS",-0-,555.
"salt marsh","MD20A","71","O","Y",-0-,"s∑∫Ï{t}$m·{±øΩ}Û","MS","SUG",556.
"marsh","MD20A","71","N","N",-0-,"mﬁº∫{∞}Û","MS",-0-,556.
"marsh","MD20B","72","N","N","salt","mﬁº{∞}Û","MS",-0-,557.
"marsh","MD20C!","73!","N","N",-0-,"mﬁ:Û","MS",-0-,558.
"marsh","MD21A","75","N","N",-0-,"mﬁº:Û","MS",-0-,559.
"marsh","MD21B","76","N","N","salty","mﬁ∫{∞}Û","MS",-0-,560.
"marsh","MD22N","N77","N","N",-0-,"mµ{∞´º}Û","MS",-0-,561.
"marsh","MD22M","N78","N","N",-0-,"mﬁ∫Û","MS",-0-,562.
"salt marsh","MD22A","77","O","N",-0-,"Âs∑∫Ï{t}$m·{±ø}Û","MS",-0-,563.
"marsh","MD22B","78","N","N",-0-,"mﬁ:Û","MS",-0-,564.
"marsh","MD22C!","79!","N","N",-0-,"mµæ∫{∞é}Û","MS",-0-,565.
"marsh","MD23A","80b","N","N",-0-,"mﬁ:Û","MS",-0-,566.
"marsh","MD23B","80a","N","N",-0-,"mﬁ∂Û","MS",-0-,567.
"marsh","MD23C","81","N","N",-0-,"mﬁ:{∞´º}Û","MS",-0-,568.
"marsh","MD24","82","N","N",-0-,"mµ›{∞´º}Û","MS",-0-,569.
"marsh","MD25","84","N","N",-0-,"mµæ¥Û","MS",-0-,570.
"marsh","MD26A","83","N","N",-0-,"mµ¥Û","MS",-0-,571.
"marsh","MD26B","83A","N","N",-0-,"mµ¥Û","MS",-0-,572.
"NR","MD27A","85",-0-,"N",-0-,-0-,"MS",-0-,573.
"NR","MD27B","86",-0-,"N",-0-,-0-,"MS",-0-,574.
"marsh","DC1A","99","N","N","grass, not necessarily salt","mﬁº∫Û","MS",-0-,575.
"marsh","DC1B!","100!","N","N",-0-,"mﬁ:Û","MS",-0-,576.
"salt marshes","VA1!","101!","O","N",-0-,"s∂´º{∂ó´}Ït$m∂´º{∂ó´}Û±øΩz","MS",-0-,577.
"marsh","VA2B","104","N","Y","cf. `mesh'","m∂´º∫{∞}Û","MS","AUX",579.
"mesh","VA2B","104","N","Y",-0-,"m·∫Û","MS","INA",579.
"NR","VA3A","105(*)",-0-,"N",-0-,-0-,"MS",-0-,580.
"NR","VA3C",-0-,-0-,"N",-0-,-0-,"MS",-0-,582.
"marsh","VA4N","N109","N","Y"," natural","m·Û","MS","SUG/OLD",583.
"NR","VA6A","113",-0-,"N",-0-,-0-,"MS",-0-,586.
"NR","VA6B","114",-0-,"N",-0-,-0-,"MS",-0-,587.
"marsh","VA7A","121","N","N","open","mµ:Û","MS",-0-,588.
"NR","VA7B","122",-0-,"N",-0-,-0-,"MS",-0-,589.
"salt marsh","VA8A","123","O","N","on tidewater","s∑∫Ït$m·{±ø}Û","MS",-0-,590.
"salt marshes","VA8C!","125!","O","N",-0-,"s∑∫{∑´}Ït$mµæﬁó´ºÛ±øΩz","MS",-0-,592.
"salt marshes","VA9A","117","O","N",-0-,"s∑Ω∫Ït$mﬁº:{∞´º}Û±øΩz","MS",-0-,593.
"marshes","VA9B!","118!","N","N",-0-,"mﬁº:Û±øΩz","MS",-0-,594.
"NR","VA10B","128",-0-,"N",-0-,-0-,"MS",-0-,596.
"marsh","VA11B","130","N","N",-0-,"mµóæ∂î´ºÛ","MS",-0-,598.
"marsh","VA12N","N131","N","N","big","mﬁ:Û","MS",-0-,599.
"NR","VA13A","133",-0-,"N",-0-,-0-,"MS",-0-,602.
"marsh","VA14A","135","N","N","fresh or salt","mﬁº∫Û","MS",-0-,604.
"marsh","VA14A","135","N","Y","fresh or salt","m·∫Û","MS","SUG/OLD",604.
"NR","VA14B","136",-0-,"N",-0-,-0-,"MS",-0-,605.
"marsh","VA14C","137","N","N","open, salt","m∂∫{∂´}Û","MS",-0-,606.
"marsh","VA15N","N139(*)","N","N",-0-,"mﬁº:Û","MS",-0-,607.
"marsh","VA15A","139","N","N",-0-,"mµæ:Û","MS",-0-,608.
"marsh","VA15A","139","N","Y",-0-,"m·{≤}Û","MS","SUG/OLD/HRD",608.
"marsh","VA15B","140","N","N","water there only at high tides on salt river","mﬁº{ﬁ´º}Û","MS",-0-,609.
"marsh","VA16A","141","N","N",-0-,"mµæ:Û","MS",-0-,610.
"marshes","VA16B","142","N","N",-0-,"mﬁóº:Û±øΩz","MS",-0-,611.
"marsh","VA17A","143","N","N","tidal on river","m·∫{±ø}Û","MS",-0-,612.
"marsh","VA18","145","N","N","five or six acres","mﬁº:Û","MS",-0-,614.
"marsh","VA19A","146","N","N",-0-,"mﬁ´º{∞}Û","MS",-0-,615.
"marsh","VA19A","146","N","Y"," natural","m·{±øΩ}Û","MS","OLD",615.
"marsh","VA19B","147","N","Y",-0-,"m·{∞}Û","MS","SUG/OLD",616.
"marsh","VA19C!","148!","N","N","salt","mﬁ:{∞}Û","MS",-0-,617.
"marsh","VA20A","149","N","N",-0-,"m·›{±ø´}Û","MS",-0-,618.
"marsh","VA20B","150(*)","N","N",-0-,"mµæ:Û","MS",-0-,619.
"marsh","VA20C",-0-,"N","N",-0-,"m∂îº∫{∞}Û","MS",-0-,620.
"marsh","VA21N","N153","N","N",-0-,"m·´{±ø}Û","MS",-0-,621.
"marsh","VA21A","153","N","N","tidal","mµæ{ﬁ´º}{±ø}Û","MS",-0-,622.
"marsh","VA21B","154","N","N","salt (tidal), on river","mµæ:Û","MS",-0-,623.
"marsh","VA22","155","N","N",-0-,"mµµ´æÛ","MS",-0-,624.
"marsh","VA22","155","N","Y"," natural","m·∫{±øΩ}Û","MS","OLD",624.
"marsh","VA23A","156","N","N",-0-,"m·Ωæ{±øΩ}Û","MS",-0-,625.
"marsh","VA23A","156","N","N",-0-,"ma´æ{±øΩ}Û","MS",-0-,625.
"marsh","VA23B","157","N","N",-0-,"mµó{∂´º}Û","MS",-0-,626.
"marsh","VA23B","157","N","Y","natural","m·{±ø}Û","MS","SUG/OLD",626.
"marsh","VA24","159","N","N","salt, marsh grass","mµæﬁÛ","MS",-0-,627.
"marsh","VA25","160(*)","N","N",-0-,"mµæ¥Û","MS",-0-,628.
"marsh","VA25","160(*)","N","Y",-0-,"m·{±ø}Û","MS","AUX/OLD",628.
"marsh","VA25","160(*)","N","N",-0-,"m·{±øΩ}Û","MS",-0-,628.
"marsh","VA25","160(*)","N","Y",-0-,"mµ¥Û","MS","AUX",628.
"marsh","VA26A","161A","N","N",-0-,"m∂∫{∞é}Û","MS",-0-,629.
"marsh","VA26B","161","N","N",-0-,"mµ¥Û","MS",-0-,630.
"marsh","VA26B","161","N","Y",-0-,"m·{±øΩ}Û","MS","OLD",630.
"marsh","VA26C","162","N","N",-0-,"mﬁ´º∫{∞}Û","MS",-0-,631.
"salt meadow","VA27","163(*)","O","N","blade grass","s∂´º{∞}Ït$m≤{∞}d¥","MS",-0-,632.
"marsh","VA27","163(*)","N","N",-0-,"mµ¥óÛ","MS",-0-,632.
"salt marsh","VA27","163(*)","O","N","blade grass","s∂´º{∞}Ït$m·{±øΩ}Û","MS",-0-,632.
"marsh","VA27","163(*)","N","N","modern","mµæ¥Û","MS",-0-,632.
"marsh","VA27","163(*)","N","Y",-0-,"m·∫{∞}Û","MS","SUG/OLD",632.
"marsh","VA28A","164","N","N",-0-,"mﬁ:Û","MS",-0-,633.
"marsh","VA28A","164","N","Y",-0-,"m·{±ø}Û","MS","SUG/OLD",633.
"marsh","VA28B","165","N","N",-0-,"m∂º∂´{∞´}Û","MS",-0-,634.
"marsh","VA29","166","N","N",-0-,"mﬁº:Û","MS",-0-,635.
"marsh","VA30A","167","N","N",-0-,"mﬁº:Û","MS",-0-,636.
"marsh","VA30B!","167a!","N","N",-0-,"mﬁºﬁóÛ","MS",-0-,637.
"marsh","VA30C!","168!","N","N",-0-,"mµæ∫{∞}Û","MS",-0-,638.
"marsh","VA30D!","169!","N","N","open","mµæ∫ﬁ´ºÛ","MS",-0-,639.
"marsh","VA31A","171(*)(**)","N","N","wetter than swamp","mµæ:Û","MS",-0-,641.
"marsh","VA31B","172","N","N",-0-,"mµæ∫{∞}Û","MS",-0-,642.
"NA","VA31C",-0-,-0-,"N",-0-,-0-,"MS",-0-,643.
"marsh","VA33B","174","N","N",-0-,"m∂î´º{∂}{∞}Û","MS",-0-,646.
"marsh","VA34A","177(*)","N","Y",-0-,"mµæ∫{∞}Û","MS","AUX",647.
"marsh","VA34A","177(*)","N","Y",-0-,"m·´{±ø}Û","MS","AUX/SUG",647.
"marsh","VA34B","178","N","N","on the James River","m∂´∫{∞}Û","MS",-0-,648.
"marsh","VA35A","179","N","N",-0-,"mµ:Û","MS",-0-,649.
"marsh","VA35A","179","N","Y",-0-,"m·∫{±øΩ}Û","MS","SUG/OLD",649.
"marsh","VA35B","180","N","N",-0-,"m∂:{∞}Û","MS",-0-,650.
"marsh","VA36A","181","N","N",-0-,"m·{∞´º}Û","MS",-0-,651.
"marsh","VA36B","182","N","N",-0-,"m·∫Û","MS",-0-,652.
